장비분류(중분류),장비분류(소분류),장비명(영문),모델명,제작국가,제작사,도입일자,유휴불용,이용료(원/시간),기관명,기관유형
카메라/영상처리장비,열화상카메라,Thermal Imaging System,P25,미국,Flir Systems,2006-09-19,활용,30000,대구기계부품연구원,기타
측정시험장비,오실로스코프,Digital Osillocope,DPO7104,미국,Tektronix,2006-09-14,활용,14000,대구기계부품연구원,기타
분광분석장비,푸리에변환적외선분광기,Fourier-Transform Infrared Spectrometer,Nicolet 5700,미국,Thermo Electron,2004-10-20,활용,33000,대구기계부품연구원,기타
분광분석장비,X-선형광분석기,ICP/OES,ARCOS,미국,Ametek,2011-03-28,활용,60000,대구기계부품연구원,기타
입자분석장비,입도분석기,Particle Size Analyzer,LS 13 320,미국,Beckman Coulter,2004-11-01,활용,25000,대구기계부품연구원,기타
현미경,주사전자현미경,Field Emission Scanning Electron Microscope with EDX system,S-4300,일본,Hitachi,2003-06-20,활용,55000,대구기계부품연구원,기타
카메라/영상처리장비,스캐너,Laser Tracker System,Laser Scanner Focus 3D,미국,Faro,2012-05-21,활용,40000,대구기계부품연구원,기타
재료물성시험장비,가속수명시험기,Super Xenon Weather Meter,SX 75,일본,Suga Test Instruments,2004-10-01,불용,11000,대구기계부품연구원,기타
재료물성시험장비,진동내구시험장비,Vehicle Simulator,모델명 없음,대한민국,엔진텍,2013-05-16,활용,150000,대구기계부품연구원,기타
재료물성시험장비,가속수명시험기,Highly Accelerated Life Testing Machine,VTC-9,미국,Hanse Environmental,2005-02-28,불용,50000,대구기계부품연구원,기타
절삭장비,보링장비,Ultra Precision JIg Boring machine,YBM 10T,일본,Yasda,2010-01-12,활용,130000,대구기계부품연구원,기타
음향/소음/진동/충격/초음파측정장비,평형시험/충격시험기,Impact Testing Machine(Drop Weight type),9250HV,미국,Instron Corporation,2003-06-20,불용,30000,대구기계부품연구원,기타
질량분석장비,달리 분류되지 않는 질량분석장비,Carbon/Sulfur Determinator,CS200,미국,Leco,2003-09-26,활용,17000,대구기계부품연구원,기타
측정시험장비,전압/전류/전력측정시험장비,Power Analyzer,WT3000,일본,Yokogawa Electric Corporation,2007-04-13,활용,93000,대구기계부품연구원,기타
힘/토오크/압력/진공측정장비,중력/압력/진공측정장비,Grasping Force Measuring System,GRIP FScan CONFORMat,미국,F-scan,2012-03-30,불용,30000,대구기계부품연구원,기타
표면특성측정장비,표면거칠기/미세구조측정장비,Surface Roughness Measuring Machine,Form TALYSURF PGI,영국,Taylor Hobson,2003-06-09,활용,10000,대구기계부품연구원,기타
측정시험장비,전압/전류/전력측정시험장비,Programmable DC Power Test Unit,PAS 40-27,일본,Kikusui,2010-02-05,활용,30000,대구기계부품연구원,기타
열유체장비,항온/항습기,Climatic Test Chamber,C-70/200,독일,Cts,2004-12-28,활용,90000,대구기계부품연구원,기타
열유체장비,항온/항습기,Climatic Test Chamber,C-40/200,독일,Cts,2007-05-07,활용,4000,대구기계부품연구원,기타
열유체장비,항온/항습기,Climatic Test Chamber,C-40/350,독일,Cts,2007-05-07,활용,4000,대구기계부품연구원,기타
재료물성시험장비,염수분무시험기,Salt Spray Tester,CAP-110,일본,Suga Test Instruments,2004-12-28,활용,1000,대구기계부품연구원,기타
길이/위치/자세측정장비,달리 분류되지 않는 길이/위치/자세측정장비,MahrSurf XC 10,Mahrsurf XC20,독일,Mahr,2003-06-19,활용,20000,대구기계부품연구원,기타
분석장비,신호분석기,Transient Test System,MEC-Tran07001S,스위스,Rohdeamp;Schwarz 외,2007-04-01,활용,150000,대구기계부품연구원,기타
재료물성시험장비,경도시험기,Rockwell Hardness Tester,TESTER 2000,미국,Wolpert Europe,2003-06-18,활용,15000,대구기계부품연구원,기타
카메라/영상처리장비,스캐너,3D Scanning Measurement System,Coment 5,독일,Steinbichler,2008-12-01,활용,50000,대구기계부품연구원,기타
장비소프트웨어,연구장비기반소프트웨어,Rapid Form,"XOR3, XOV3",대한민국,아이너스기술,2012-10-31,활용,40000,대구기계부품연구원,기타
재료물성시험장비,특성평가시스템,Friction Test Machine,TE77 AUTO,영국,Phoenix Tribology,2003-07-13,활용,50000,대구기계부품연구원,기타
재료물성시험장비,만능피로시험기,compact fatigue tester,MTS-25KN,미국,Mts,2007-04-01,활용,60000,대구기계부품연구원,기타
성형/가공장비,프레스장비,(200Ton Mechanical Gear Servo Press),SV1P200,대한민국,㈜SIMPAC,2009-09-15,활용,50000,대구기계부품연구원,기타
측정시험장비,전자파측정시험장비,EMC Test System,MEC-EMC07001S,독일,Rohdeamp;amp;amp;amp;Schwarz 외,2007-04-01,활용,250000,대구기계부품연구원,기타
측정시험장비,절연/누설/정전기측정시험장비,ESD Test System,MEC-ESD07001S,스위스,Rohdeamp;Schwarz 외,2007-04-01,활용,150000,대구기계부품연구원,기타
분광분석장비,자외/가시광분광광도계,(UV)(UV-VIS Spectrometer),UV-1650PC,일본,Shimadzu,2007-02-08,활용,30000,대구기계부품연구원,기타
장비소프트웨어,달리 분류되지 않는 장비소프트웨어,Balancing Measurement System of Rotating Equipments,N500,이탈리아,Cemb,2008-08-19,활용,32000,대구기계부품연구원,기타
질량분석장비,기체크로마토그래피질량분석기,Gas Chromatography Mass Spectrometer,QP2010Plus,일본,Shimadzu,2007-02-08,활용,100000,대구기계부품연구원,기타
분광분석장비,광전자분광기,(CT) Xray 검사장비(Micro focus X-Ray CT System),inspeXio SMX-225CT,일본,Shimadzu,2008-09-12,활용,150000,대구기계부품연구원,기타
재료물성시험장비,경도시험기,Brinell Hardness Tester,AOB #2,미국,Tinius Olsen,2003-06-19,활용,15000,대구기계부품연구원,기타
재료물성시험장비,염수분무시험기,Cyclic Corrosion Test Chamber,CYP-90,일본,Suga Test Instruments,2008-05-30,불용,5000,대구기계부품연구원,기타
재료물성시험장비,염수분무시험기,(Salt Spray Tester),CAP-90V,일본,Suga Test Instruments,2008-06-25,활용,1000,대구기계부품연구원,기타
재료물성시험장비,진동내구시험장비,Compact Vibration Shaker,i220/SA1M,일본,Imv Corporation,2009-03-30,활용,30000,대구기계부품연구원,기타
재료물성시험장비,특성평가시험기,Instrumented Pendulum Impact Tester,RKP450&5113,독일,Zwick Roell,2004-09-10,활용,50000,대구기계부품연구원,기타
열유체장비,항온/항습기,Temp. & Humid Chamber,C600-40/C1000-40,독일,Weiss Technik,2008-04-17,활용,90000,대구기계부품연구원,기타
장비소프트웨어,달리 분류되지 않는 장비소프트웨어,Moldflow,모델명 없음,미국,Moldflow,2005-12-22,활용,50000,대구기계부품연구원,기타
장비소프트웨어,달리 분류되지 않는 장비소프트웨어,MSC,Msc Patran,미국,Msc Software,2005-12-22,활용,50000,대구기계부품연구원,기타
장비소프트웨어,계측/분석소프트웨어,MSC ACTRAN,ACTRAN v2005,미국,Msc Software,2005-12-22,활용,50000,대구기계부품연구원,기타
재료물성시험장비,만능시험기,Transverse Rupture Strength Testing Machine,5982,미국,Instron Corporation,2018-02-01,활용,50000,대구기계부품연구원,기타
현미경,광학현미경,Opical Microscope,ECLIPSE LV150N,일본,Nikon,2017-12-27,활용,35000,대구기계부품연구원,기타
절삭장비,복합장비,Ultraprecision 5 axis Hybrid Machining System,650FG v2,미국,Moore Nanotechnology Systems,2018-12-21,활용,200000,대구기계부품연구원,기타
힘/토오크/압력/진공측정장비,동력계,Measurement Equipment for Micro Cutting Forces,MiniDyn 9119AA2 / 5080A / 5697A,스위스,Kistler,2018-09-17,활용,50000,대구기계부품연구원,기타
현미경,주사전자현미경,High resolution FE-SEM with EBSD (JEOL JSM-7900F),JSM-7900F,일본,Jeol,2018-12-07,활용,100000,대구기계부품연구원,기타
절삭장비,밀링장비,Vertical machining center,NX6500II,대한민국,두산공작기계,2018-12-14,활용,72000,대구기계부품연구원,기타
성형/가공장비,레이저가공기,Laser machine for cutting tools,Lasertec 20,독일,Dmg Mori,2018-12-19,활용,159000,대구기계부품연구원,기타
열유체장비,전기/소결로,Gas Pressure Sintering Furnace,GPS-200-100B,대한민국,삼양세라텍,2018-12-31,활용,130000,대구기계부품연구원,기타
성형/가공장비,프레스장비,Oil Press,HLP-A50-DC,대한민국,㈜한테크,2019-01-04,활용,40000,대구기계부품연구원,기타
현미경,광학현미경,Tool and sample surface analysis device,VHX-5000,일본,Keyence,2017-11-23,활용,30000,대구기계부품연구원,기타
절삭장비,연삭/연마장비,Universal Precision Tool Grinding Machine,EWAMATIC LINEAR,스위스,EWAG,2019-01-24,활용,180000,대구기계부품연구원,기타
길이/위치/자세측정장비,위치/자세측정장비,3D Coordinate Measuring Machine for DIE or JIG,Alpha Image 25.50.15,스웨덴,hexagon,2009-09-11,활용,50000,대구기계부품연구원,기타
재료물성시험장비,만능피로시험기,robot shock tester,95/115,미국,Lansmont,2013-04-24,활용,50000,대구기계부품연구원,기타
재료물성시험장비,경도시험기,High temperature hardness testing machine,TriboLab,독일,Bruker,2019-12-09,활용,70000,대구기계부품연구원,기타
자기력발생/측정/응용장비,자기력측정장비,Magnetic Property Measurement System,SJ-SM-2000A,대한민국,석진산업,2020-01-06,활용,50000,대구기계부품연구원,기타
온도/열/습도/수분측정장비,열전도도/열상수측정기,Thermal Conductivity Tester,LFA-467,독일,Netzsch,2019-12-09,활용,60000,대구기계부품연구원,기타
반응/혼합/분쇄장비,분쇄/파쇄기,High Power Mechanical Alloying Equipment,08-626cWC,미국,The Jet Pulverizer,2020-03-09,활용,90000,대구기계부품연구원,기타
열유체장비,압력장비,Cold Isostatic Press Equipment,WIP-300600-40000B,대한민국,삼양세라텍,2020-03-19,활용,150000,대구기계부품연구원,기타
열유체장비,전기/소결로,Hot Isostatic Press Sintering,AIP12-30H,미국,American Isostatic Presses(AIP),2020-12-29,활용,1000000,대구기계부품연구원,기타
반도체장비,스퍼터,PVD Equipment with Multiple Deposition Sources,CC800 HiPIMS,일본,Cemecon,2020-12-16,활용,300000,대구기계부품연구원,기타
현미경,투과전자현미경,Field Emission Electron Microscope TEM (JEM-2100F),JEM-2100F,일본,Jeol,2005-02-28,활용,150000,대구기계부품연구원,기타
절삭장비,절단장비,3D Laser Shearing Machine,SJ-RC2000,중국,SEJONGTECH,2023-03-29,활용,60000,대구기계부품연구원,기타
질량분석장비,이차이온질량분석기,Inductively coupled plasma mass spectrometer,NexION 300X,미국,Perkin Elmer,2011-02-22,활용,50000,포항테크노파크,지자체출연연구기관
현미경,공초점현미경,Super resolution Microscope,Nikon N-SIM/Nikon N-STORM,일본,Nikon,2011-06-07,활용,100000,포항테크노파크,지자체출연연구기관
전문의학용특수장비,수의학/실험동물검사장비,PET/SPECT/CT (INVEON Multimodal System),INVEON,독일,Siemens,2011-09-15,활용,150000,포항테크노파크,지자체출연연구기관
반응/혼합/분쇄장비,시료절편기,Cryotome,CM1850,독일,Leica,2011-04-01,활용,9000,포항테크노파크,지자체출연연구기관
열유체장비,멸균기,steam sterilizer,,네덜란드,Tuttnauer,2011-06-21,불용,3000,포항테크노파크,지자체출연연구기관
생물사육/실험시설장비,동물사육/실험시설장비,IVC rack system,Micro-safe,싱가포르,Linair bio science,2011-06-29,불용,5000,포항테크노파크,지자체출연연구기관
생물사육/실험시설장비,동물사육/실험시설장비,IVC rack system,Micro-safe,싱가포르,Linair bio science,2011-06-29,불용,5000,포항테크노파크,지자체출연연구기관
분리분석장비,전기영동장치,Bioanalysis verification system,2100,미국,Agilent Technologies,2010-06-08,활용,107000,포항테크노파크,지자체출연연구기관
바이오제조/분석장비,유전자추출장치,Automated nucleic acid extractor,QIAcube,독일,Qiagen,2010-06-18,저활용,10000,포항테크노파크,지자체출연연구기관
분리분석장비,액체크로마토그래피,HPLC-FLD,Flexar SQ 300 MS,미국,Perkin Elmer,2010-09-09,활용,39000,포항테크노파크,지자체출연연구기관
전문의학용특수장비,수의학/실험동물검사장비,Auto Chemistry analyzer,BS390,중국,Shenzhen Mindray Bio-electronics,2010-07-15,활용,30000,포항테크노파크,지자체출연연구기관
질량분석장비,액체크로마토그래피질량분석기,LTQ-Orbitrap MSn Spectrometic system,LTQ Orbitrap Velos Pro,미국,Thermo Fisher Scientific,2010-11-02,활용,250000,포항테크노파크,지자체출연연구기관
전문의학용특수장비,수의학/실험동물검사장비,Complete blood counter,Medonic CA-620-vet,미국,Medonic,2010-10-31,활용,8000,포항테크노파크,지자체출연연구기관
입자분석장비,제타전위측정기,Particle size and zeta potential analyzer,Zetatrac NPA152,미국,Microtrac,2010-07-09,활용,11000,포항테크노파크,지자체출연연구기관
분리분석장비,액체크로마토그래피,High Performance Liquid Chromatograph(PDA),Flexar SQ 300 MS,미국,Perkin Elmer,2010-07-28,활용,30000,포항테크노파크,지자체출연연구기관
분광분석장비,자외/가시광분광광도계,Ultracentrifuge,Sorvall WX,미국,Thermo Fisher Scientific,2010-07-08,활용,11000,포항테크노파크,지자체출연연구기관
바이오제조/분석장비,마이크로플레이트리더,Milti-Functional Microplate Reader,INFINITE M200PRO,스위스,Tecan,2010-08-11,활용,8000,포항테크노파크,지자체출연연구기관
바이오제조/분석장비,유전자증폭장치,"Real-time PCR, PCR",CFX96,미국,Bio-rad,2010-06-08,활용,10000,포항테크노파크,지자체출연연구기관
분리정제장비,수처리장비,Ultrapure water system,Milli-Q A10,미국,Millipore,2010-07-15,활용,4000,포항테크노파크,지자체출연연구기관
분리분석장비,가스크로마토그래피,GC-FID (Shimadzu GC-2010 Plus),GC-2010 Plus,일본,Shimadzu,2010-06-18,활용,28000,포항테크노파크,지자체출연연구기관
분리정제장비,수처리장비,Ultrapure water system,Milli-Q A10,미국,Millipore,2010-07-15,활용,4000,포항테크노파크,지자체출연연구기관
질량분석장비,기체크로마토그래피질량분석기,GC-MS (Shimadzu GCMS-QP2010 Plus),GCMS-QP2010 Plus,일본,Shimadzu,2010-09-30,활용,40000,포항테크노파크,지자체출연연구기관
전문의학용특수장비,수의학/실험동물검사장비,Multi-channel blood pressure system,BP-2000,미국,Visitech Systems,2010-07-31,활용,25000,포항테크노파크,지자체출연연구기관
열유체장비,건조기,Freeze dryer,FreeZone 12 Liter Console Freeze Dry System,미국,Labconco,2010-11-23,활용,30000,포항테크노파크,지자체출연연구기관
이미지분석장비,생체내화학형광이미지분석기,Animal in-vivo imaging analyzer (IVIS Spectrum),IVIS Spectrum,미국,Caliper Life Sciences,2010-12-31,활용,22000,포항테크노파크,지자체출연연구기관
분리분석장비,가스크로마토그래피,GC-ECD/NPD,GC-2010 Plus,일본,Shimadzu,2010-06-18,활용,29000,포항테크노파크,지자체출연연구기관
전문의학용특수장비,수의학/실험동물검사장비,Trimodality imaging system,INVEON,독일,Siemens,2011-09-15,활용,150000,포항테크노파크,지자체출연연구기관
분광분석장비,자외/가시광분광광도계,UV/VIS Spectrophotometer,"UV-2450,UV-2550",일본,Shimadzu,2008-09-12,활용,10000,대구한의대학교 산학협력단,사립대학(4년제)
분리분석장비,가스크로마토그래피,7890A GC,7890A,미국,Agilent Technologies,2009-12-18,활용,55000,대구한의대학교 산학협력단,사립대학(4년제)
질량분석장비,기체크로마토그래피질량분석기,Gas Chromatograph Mass Spectroscopy,6890N/5975 inert GC/MSD,미국,Agilent Technologies,2005-10-27,활용,57000,대구한의대학교 산학협력단,사립대학(4년제)
분리분석장비,가스크로마토그래피,Haedspace Autosampler,HT3,미국,Teledyne Tekmar,2009-12-18,활용,53000,대구한의대학교 산학협력단,사립대학(4년제)
분리분석장비,액체크로마토그래피,High Performance Liquid Chromatography,Ultra Performance LC,미국,Waters,2007-11-16,활용,65000,대구한의대학교 산학협력단,사립대학(4년제)
분리분석장비,액체크로마토그래피,High Performance Liquid Chromatograph,e2695,미국,Waters,2011-12-01,활용,65000,대구한의대학교 산학협력단,사립대학(4년제)
분리정제장비,증류/농축기,Big Scale Evaporator,N-21NS,일본,Tokyo Rikakikai,2004-03-31,활용,30000,대구한의대학교 산학협력단,사립대학(4년제)
열유체장비,건조기,Freezer Dryer,FreeZone 6 Liter Console Freeze Dry System,미국,Labconco,2007-09-20,활용,4000,대구한의대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,마이크로플레이트리더,Microplate Readers,INFINITE M200PRO,스위스,Tecan,2009-12-16,유휴,15000,대구한의대학교 산학협력단,사립대학(4년제)
분리정제장비,원심분리기,Centrifugal separator,5810R,독일,Eppendorf,2008-10-07,활용,4000,대구한의대학교 산학협력단,사립대학(4년제)
분리분석장비,박막크로마토그래피,Thin-layer Chromatograph,TLC System,스위스,Camag,2005-10-11,활용,30000,대구한의대학교 산학협력단,사립대학(4년제)
분리정제장비,증류/농축기,Rotary Evaporator,N1000SW,일본,Tokyo Rikakikai,2004-03-31,활용,11000,대구한의대학교 산학협력단,사립대학(4년제)
분리정제장비,증류/농축기,High Throughput Centrifugal Evaporator,EZ-2 Plus,영국,Genevac,2008-11-14,활용,7000,대구한의대학교 산학협력단,사립대학(4년제)
분광분석장비,수은함량분석기,Automatic Mercury Analyzer,SP-3DS,일본,Nippon Instruments Corporation(NIC),2005-11-11,활용,36000,대구한의대학교 산학협력단,사립대학(4년제)
분광분석장비,유도결합플라즈마원자방출분광기,Inductively Coupled Plasma Spectrometer,iCAP 6300 DUO,미국,Thermo Fisher Scientific,2007-11-07,활용,40000,대구한의대학교 산학협력단,사립대학(4년제)
분광분석장비,자외/가시광분광광도계,SPF Analyzer,SPF-290AS,미국,Solar Light,2017-01-23,활용,50000,대구한의대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,자동화분주장치,Automatic Sample Preparation System for Residual Pesticide,Automated Sample preparation System,독일,Lc Tech,2007-11-09,활용,45000,대구한의대학교 산학협력단,사립대학(4년제)
분리정제장비,추출기,Automatic Soxhlet Extraction System,Soxtherm Sox416,독일,Gerhardt,2008-11-14,활용,10000,대구한의대학교 산학협력단,사립대학(4년제)
화합물전처리/분석장비,달리 분류되지 않는 화합물전처리/분석장비,Automatic Sample Preparation System for Sulfuric Oxide,TT A,독일,Gerhardt,2008-11-14,활용,28000,대구한의대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,달리 분류되지 않는 바이오제조/분석장비,Automatic Potentiometric Titrator,AT-500N(Titrino Plus),일본,Kyoto Electronics Manufacturing(KEM),2005-11-10,활용,14000,대구한의대학교 산학협력단,사립대학(4년제)
반응/혼합/분쇄장비,반응장비,Trace Metal Digestion System,SMA-20A,독일,Gerhardt,2008-11-14,활용,45000,대구한의대학교 산학협력단,사립대학(4년제)
분리정제장비,증류/농축기,Rotary Vacuum Evaporator,R-220,스위스,Buchi,2008-11-04,활용,30000,대구한의대학교 산학협력단,사립대학(4년제)
분리분석장비,액체크로마토그래피,Ultra Performance Liquid Chromatograph,Ultra Performance LC,미국,Waters,2006-03-10,활용,64000,대구한의대학교 산학협력단,사립대학(4년제)
질량분석장비,액체크로마토그래피질량분석기,High Performance Liquid Chromatograph & Mass Spectrometer,Triple Stage Quadrupole,미국,Waters,2007-06-08,활용,68000,대구한의대학교 산학협력단,사립대학(4년제)
반응/혼합/분쇄장비,반응장비,Microwave,MARSXpress,미국,Cem,2008-10-15,저활용,40000,대구한의대학교 산학협력단,사립대학(4년제)
재료물성시험장비,온습도시험기,Temp & Humid Chamber,HST-105SP (4Chamber),대한민국,한백과학(HANBAEK),2009-12-15,활용,4000,대구한의대학교 산학협력단,사립대학(4년제)
카메라/영상처리장비,스캐너,3D Scan,모델명 없음,미국,제작사명 없음,2016-02-19,활용,70000,대구한의대학교 산학협력단,사립대학(4년제)
성형/가공장비,3D프린터,3D Printer,ProJet 660 Pro,미국,3d Systems,2016-02-19,저활용,500000,대구한의대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,유전자증폭장치,PCR System,Mastercycler Nexus GSX1,독일,Eppendorf,2015-08-25,활용,270000,대구한의대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,배양장치,Incubator 105L,WIG-105,대한민국,대한과학,2011-12-04,활용,30000,대구한의대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,배양장치,Incubator 155L,WIG-155,대한민국,대한과학,2011-07-30,활용,30000,대구한의대학교 산학협력단,사립대학(4년제)
분석장비,스펙트럼분석기,signal analyzer,N9030A,미국,Agilent Technologies,2011-06-01,활용,22500,영남대학교 산학협력단,사립대학(4년제)
분석장비,신호분석기,Frequency Response Analyzer,FRA5097,일본,Nf Corporation,2010-02-09,활용,30000,영남대학교 산학협력단,사립대학(4년제)
분광분석장비,X-선형광분석기,Bench top X-ray Fluorescence Analyzer,SEA 1000A II,일본,Seiko Instruments,2013-02-26,활용,35000,영남대학교 산학협력단,사립대학(4년제)
분광분석장비,X-선회절분석기,X-ray Diffractometer (MPD for thin film),XPert PRO,네덜란드,Panalytical,2008-08-11,활용,18000,영남대학교 산학협력단,사립대학(4년제)
분광분석장비,X-선회절분석기,X-ray Diffractometer(MPP for Bulk),XPERT PRO,네덜란드,Panalytical,2008-08-11,활용,18000,영남대학교 산학협력단,사립대학(4년제)
분광분석장비,광전자분광기,X-ray Photoelectron Spectrometer,K-Alpha,미국,Thermo Fisher Scientific,2014-05-12,활용,120000,영남대학교 산학협력단,사립대학(4년제)
분광분석장비,유도결합플라즈마원자방출분광기,Inductively Coupled Plasma- Optical Emission Spectrometer,OPTIMA8300,미국,Perkin Elmer,2012-11-08,활용,50000,영남대학교 산학협력단,사립대학(4년제)
현미경,투과전자현미경,Field Emission- Transmission Electron Microscope,Technai G2 F20,미국,FEI,2009-01-22,활용,220000,영남대학교 산학협력단,사립대학(4년제)
현미경,주사전자현미경,Field Emission -Scanning Electron Microscope,S-4800,일본,Hitachi,2008-08-11,활용,60000,영남대학교 산학협력단,사립대학(4년제)
현미경,주사전자현미경,Field Emission -Scanning Electron Microscope,S-4200,일본,Hitachi,1998-02-10,활용,48000,영남대학교 산학협력단,사립대학(4년제)
현미경,주사탐침현미경,Scanning Probe Microscope / Atomic Force Microscope,Nanoscope Ⅲa,미국,Digital Instruments,1999-08-09,활용,48000,영남대학교 산학협력단,사립대학(4년제)
현미경,투과전자현미경,Transmission Electron Microscope(120KV),H-7600,일본,Hitachi,2002-01-10,활용,72000,영남대학교 산학협력단,사립대학(4년제)
하드웨어,저장장치,3D Optical Digitizing system,ATOS II,독일,Gom,2014-02-03,활용,40000,경운대학교 산학협력단,사립대학(4년제)
측정시험장비,무선시스템측정시험장비,Quick SAR Measurement System,Essay Quick,대한민국,이엠에프 세이프티,2011-12-22,활용,50000,경운대학교 산학협력단,사립대학(4년제)
측정시험장비,무선시스템측정시험장비,Wideband Radio Communication Tester,CMW500,독일,Rohde&Schwarz,2014-11-27,활용,50000,경운대학교 산학협력단,사립대학(4년제)
분석장비,벡터네트워크분석기,Network Analyzer,E5071B,미국,Agilent Technologies,2004-02-25,활용,30000,경운대학교 산학협력단,사립대학(4년제)
분석장비,벡터네트워크분석기,Network Analyzer,MS4623B,일본,Anritsu,2005-04-28,활용,10000,경운대학교 산학협력단,사립대학(4년제)
측정시험장비,오실로스코프,Digital Mixer Oscilloscope,DPO4104B,미국,Tektronix,2011-11-14,활용,10000,경운대학교 산학협력단,사립대학(4년제)
분석장비,벡터네트워크분석기,Vector Signal Generator,E4438C,미국,Agilent Technologies,2004-02-25,활용,20000,경운대학교 산학협력단,사립대학(4년제)
분석장비,스펙트럼분석기,Spectrum Analyzer,E4440A,미국,Agilent Technologies,2004-02-25,활용,20000,경운대학교 산학협력단,사립대학(4년제)
카메라/영상처리장비,스캐너,Portable 3D Color Scanner,GO SCAN 20,캐나다,Creaform,2018-01-31,활용,37000,경운대학교 산학협력단,사립대학(4년제)
측정시험장비,전자파측정시험장비,EMC Scanner,RCE25,대한민국,이레테크,2011-12-21,활용,30000,경운대학교 산학협력단,사립대학(4년제)
측정시험장비,전자파측정시험장비,SAR Measurement System,DASY4 Professional,스위스,Schmid &PARTNER Engineering AG,2004-02-14,활용,2000000,경운대학교 산학협력단,사립대학(4년제)
측정시험장비,전자파측정시험장비,SAR Measurement System,Dasy6,스위스,Speag,2016-02-03,활용,2000000,경운대학교 산학협력단,사립대학(4년제)
표면특성측정장비,표면거칠기/미세구조측정장비,Surface Roughness/Contour Measuring System,SV-C3200S4,일본,Mitutoyo,2016-12-26,활용,20000,경운대학교 산학협력단,사립대학(4년제)
길이/위치/자세측정장비,위치/자세측정장비,Computer Numeric Control CMM(Coordinated Measuring Machine),CRYSTA-Apex S 574,일본,Mitutoyo,2016-12-26,활용,30000,경운대학교 산학협력단,사립대학(4년제)
성형/가공장비,3D프린터,3D Printer,EDEN350,이스라엘,Objet,2013-01-09,활용,50000,경운대학교 산학협력단,사립대학(4년제)
열유체장비,항온/항습기,Temperature & Humidity Chamber,TH-G-408,대한민국,㈜제이오텍,2011-11-09,활용,20000,경운대학교 산학협력단,사립대학(4년제)
카메라/영상처리장비,스캐너,Handheld Laser 3D Scanner,MetraSCAN 3D,캐나다,Creaform,2018-02-09,활용,47000,경운대학교 산학협력단,사립대학(4년제)
장비소프트웨어,달리 분류되지 않는 장비소프트웨어,Quality Assurance sofeware,Polyworks,대한민국,이노브매트릭,2018-02-09,활용,37000,경운대학교 산학협력단,사립대학(4년제)
장비소프트웨어,계측/분석소프트웨어,Reverse Engineering Software,DesignX,미국,3d Systems,2018-01-18,활용,36000,경운대학교 산학협력단,사립대학(4년제)
카메라/영상처리장비,열화상카메라,thermal camera,TI400,미국,FLUKE,2013-12-19,활용,5000,경운대학교 산학협력단,사립대학(4년제)
장비소프트웨어,연구장비기반소프트웨어,ICAD PLUS,iCAD/SX Mechaniacl iCAD Plus,일본,ICAD LTD.,2019-08-23,활용,32000,경운대학교 산학협력단,사립대학(4년제)
측정시험장비,달리 분류되지 않는 측정시험장비,CoMeT RF cable Test System,CoMeT 40/T-E,독일,Bedea,2018-12-21,활용,500000,경운대학교 산학협력단,사립대학(4년제)
카메라/영상처리장비,스캐너,Broadband 3D Scanner,RTC360,스위스,Leica Geosystems,2019-10-25,활용,40000,경운대학교 산학협력단,사립대학(4년제)
성형/가공장비,3D프린터,3D Rapid Prototyping System,Projet 3500 3D Printers,미국,3d Systems,2013-06-14,활용,24000,대구경북과학기술원,기타
현미경,공초점현미경,3D measuring microscope,LSM 700,독일,Carl Zeiss,2012-01-31,활용,19200,대구경북과학기술원,기타
분광분석장비,X-선형광분석기,High resolution X-ray Fluorescence,Axios mAX,네덜란드,Panalytical,2012-02-09,활용,27600,대구경북과학기술원,기타
분광분석장비,X-선회절분석기,High resolution X-ray diffractometer,Empyrean,네덜란드,Panalytical,2012-02-09,활용,36000,대구경북과학기술원,기타
현미경,주사전자현미경,High Resolution Field Emission Scanning Electron Microscope,SU8020,일본,Hitachi,2012-03-19,활용,48000,대구경북과학기술원,기타
반도체장비,식각장비,Dielectric ICP Etcher System,FabStar,대한민국,(주)티티엘,2012-04-09,활용,54000,대구경북과학기술원,기타
절삭장비,복합장비,High Precision Laser Cutting System for Nonmetalics,VLS4.60,미국,Universal Laser System,2014-12-10,활용,24000,대구경북과학기술원,기타
절삭장비,복합장비,High Precision Fiber Laser Cutting System for Metals,ALC-100,대한민국,Advanced Technology Inc.,2015-01-16,활용,36000,대구경북과학기술원,기타
분광분석장비,광전자분광기,X-ray photoelectron spectrometer,ESCALAB 250Xi,미국,Thermo Fisher Scientific,2013-01-25,활용,79200,대구경북과학기술원,기타
현미경,주사탐침현미경,Laser-assisted Local Electrode Atom Probe,LEAP 4000X HR,프랑스,Cameca,2015-05-07,활용,240000,대구경북과학기술원,기타
반도체장비,식각장비,Metal etcher system,FabStar,대한민국,(주)티티엘,2012-01-31,활용,54000,대구경북과학기술원,기타
반도체장비,트랙장비,Metal Wet Station,모델명 없음,대한민국,Seunghyun,2013-01-31,활용,12000,대구경북과학기술원,기타
